,text,class
3106,"I ordered a biryani, and the taste of the Biryani was beyond my expectations and the quantity was also enough comparatively to the price!
Really nice much appreciable",positive
1927,"A nice place to hangout since it has both the ambiance and the right kind of food to go with it.
Service persons are quite prompt and well mannered. The food is a prepared with the right mixture of spices which instantly tickles your taste buds.
Crispy chili octopus was really a right choice to start the journey. Our other dishes were good enough with a slight exception of the ham steak with was a bit light.",positive
5405,This place is awesome for having lunch or dinner. Must try Chicken Tikka. There is a outlet for rolls. You can dine in inside the restaurant.,positive
7426,I got shell of egg in the egg roll. as a result i could not eat that. egg fried rice was average. but i shall give them zero as they don't give proper attention in cooking.,negative
1669,"Their biryani is oily, with a bit disconcerting hue.From the rice to the potato, you know that things are a bit out of shape. But, its damn cheap and you can grab good offers from delivery apps.",negative
6662,"A decent, pocket friendly place that offers warm, tasty food at dirt cheap rates. Staff behavior is really good to start with. Quantity and quality of food are way better than what you would expect at such price point.
What we had: Butter nun, tandoori roti, butter tandoori roti, chili chicken and palak Paneer.
Butter nun:4/5
Chili chicken:4/5,tasty nevertheless!
Palak paneer:3/5,this one was a tad bit disappointing.
Tandoori roti, butter tandoori roti : 5/5. Perfect, warm and soft.
A place where you can drop by after all the pre pujo shopping spree.",negative
11387,"Stuffy, over priced and one certain place to avoid..parking is a pain...even though food price is high but the quantity is too less to satisfy stomach...",negative
1312,"Haldiram, in the present time, is nothing but a overpriced snacks store. There is nothing that can set them apart from local shops selling puri, samosa, pakodas etc. There is only the clean and subtle decor of the interiors, which according to me doesn't amount to much when all the others factors speak so less of you. I would just hope they would revice their pricing in the near future.",negative
10742,"Ordered chicken chowmin from this place. Pocket friendly place but not very high grade. Quantity is sufficient, but quality can be improved.",negative
4875,This place serves average food. I visited this place for the first time and the food was okayish. The ambience was pretty good and staffs were courteous. I would not really recommend but you can try this place out if you want.,negative
3927,"Located just beside Nagerbazar 202 bus stand, this place is very near to my house and a life saver for me on many occasions. Ordered and visited numerous times. This food joint basically a takeaway though they have sitting arrangement of 5-6 people. Tried almost everything. The chicken and egg hakka chowmin, moghlai paratha, dosa and chicken kasa are my favourites from this small eatery.",negative
3574,"Heard that their chinese is pretty good therefore I landed up here with my hunger pangs. Ambience is average with an open bar.
Ordered:
Mixed noodles-The mixed Hakka was 190/- bucks, well I think that is a bit too much for noodles even though it was having a good quantity of prawn and pork slices. A bit too oily with chunks of big chopped onions.
Tandoori chicken-Too bad an experience with the Mughlai dish. The chicken was not rightly marinated with spices, was a little dry and the most disappointing part being that it came with no mint chutney. When I asked them for it they gave me a bottle of chilly sauce, too noob for a foodie. The quantity was not good as well.
Although alcohol is cheap, this place is not worth 4stars. The staffs are not enough polite with the customers, instead they have some egoistic behaviour. Was really disappointed with my visit.",negative
330,"Went there to have with Bidisha Banerjee on a Wednesday late afternoon. The place seemed quite happening and the ambience was nice as well. However I think the music played there live was not that great. Coming to food n drinks, we ordered
1. Traffic Ultimate Nachos - Decent, have had better versions of nachos with dip
2. Pollo Cremoso - Loved this thin crust pizza and if I am going back to this place this will be one of the reasons.
3. Chipotle Barbeque Prawns - This was nice and very tasty
4. Shots - Funky Monk, lick my peach, kill me quick and kamikaze with flavours(4)and all of them were good.

All in all a nice place to visit with friends especially before 5 PM to get the Happy Hours pricing",positive
8478,"A lovely place for post work get togethers, small parties and celebrations. Food is good, alcohol is genuine and is close to the MRP price and the service is good enough to match up to the price point. The ambience is also neat and clean. I would definitely be back with my bunch!",positive
9641,"I tried Bihari Cuisine first time from Litti Express. Overall experience was amazing. They made fantastic Litti chokha. My recommendation is to try Litti chokha with ghee. I also ordered Chhichhora Pakoda tokri. Chatnis served with Pakoda arre worth of special mention. I would say that Pakoda was just above average by taste. Darbhanga Dahi kabab was delicious. Among dessert items, only 1 was available- Oye makhana. This item was just okayish. If you like kadak chai, then masala tea here is a must try. Must try item here is definitely Litti chokha with ghee. The restaurant is simply but nicely decorated. Staff are polite.",positive
6050,"I visited this place for the first time. For the first time i had a bit difficulty in understanding the menu, but once you patiently go through it, its very good !
Ordered pineapple magic. Drink arrived in a glass bottle, and i loved it in the very first sip.
The crunch of muesli, the fresh pineapples, i didnt realize that a juice could actually substitute a meal which generally comprises of carbs!
I am planning a month of carb detox. I would love to order shakes from here, so that i stay away from carbs ! 
They have games available which the pic shows. I left the place with a big smile. 
Definitely will visit/order again.",positive
5135,"One of the best South Indian restaurant located in the lanes of deshapriya park ambience is good and service is ok 
Idli and sambhar were excellent they serve three kinds of chutney mint plain and red chutney 
Overall a very good place and must visit for all South Indian food lover",positive
11228,not bed,positive
8701,"4.5 *
Was seriously impressed with the quality, packaging and taste...
Had ordered a Chinese combo comprising noodles, kimchi Salad and Hunan Chicken...
The taste was awesome and the quantity was encouraging too.....The Kimchi Salad was quite spicy but not to detrimental for the digestive system if not consumed very often....Had also got the Darshan(Complimentary through Zomato Treats) which was quite amazing too.....

Overall, a must try.....",positive
837,Good food.Could be better.This outlet is famous for their. Biryani has a new flavour.But there are chances for improvement.Tangri Kebab was perfect.All the items were fresh and well packed.,positive
4458,"Was in the wishlist for a long time , uff the Momo's are to die for
Ordered
Pork Momo
Chilli pork (this one tasted a bit bland and sweet in taste for no reason)
Veg fried rice",positive
10495,Ordered from them via the newly launched swiggy pop menu and they absolutely lived up to their reputation.It was a nicely packed and adequate in quantity for one person combo meal of veg wok tossed noodles and veg shezwan stir fry.The noodles were not too greasy and subtlely spiced.The stir fried vegiees yossed in schezwan sauce was the show stealer though.It had broccoli/capsicum/potato/babycorn and onions and was tossed in a not overtly spicy sauce and had added star anise and dry chilli added to the mix for flavour.The one star i'm deducting or rather am saving for my next tryst with noodle oddles food on my next visit or order from them.,positive
6230,The Bites are really yummy.. Ordered Reshmi Kabab & Crispy Chicken and the taste is really awesome. Quality and quantity both worth the cost.,positive
10674,Nice and ossb biriani available here.I often order Mutton Biriani From here.. they taste really good.. i havent visited here so dont know about the shop view,positive
514,"Whattaaa wonderful place to visit !!!
I just loved it honesly the food the view the total atmosphere of this rooftop cafe its just amazingly good !!!!",positive
6163,"Ordered chicken club sandwich and chicken sandwich in multigrain bread.The first one tasted really good,the second was just ok.But still,good experience overall.",positive
314,"Situated in the busy street of Burrabazar, the restaurant was a gem of a find for four hungry travelers. The food was amazing, but the only complaint was the insane amount of oil in the dishes. The ambience was average, with a good seating cabin for families or large groups. I would like to put into attention Mutton Chaap, which was amazing. Would like to visit again to try out the other stuff.",negative
9245,I book one plate biryani within 1 minutes ordered accepted and cancel but cant received refund money again request to give me my food. Restaurant not accepting money is full waste.,negative
10893,"Being in bylane of Kustia small shop of Biryani.... 

Its really deal with the great amazing taste of biryani...  You can feel it by just its aroma coming out of its shop",positive
4691,Liked their food and hospitality.. The Bhetki chingri monohara was quite good though the aamer chutney could have been much better.. The pulao and the Bhetki paturi was decent as well.... The ambience is quite good.. Overall a good place for Bengali food lovers..,positive
7958,Situated in ground floor in Lytton Hotel in Newmarket area just opposite of Indian museum. Ambience was great with live dj. Ordered two mocktails pineapple lemon punch and cucumber mint soda. Both were awsome. Also ordered lasagna with minced chicken and mancini mushroom risotto. Both were delicious. Staffs are well behaved. Good experience. Sreya Datta,positive
5745,"Has been to this place on soshti afternoon. It was crowded just like expected on Durga puja days. We waited for sometime and were sent to 4th floor. The ambience was pretty average.service was slow, might be due to the puja rush. We ordered chicken chopsuey, mix fried rice, schezwan chicken. Mixed fried rice and schezwan chicken was decent. The gravy with chopsuey was too sweet due to excess ketchup. Chopsuey was disappointing. Might be due to rush and bulk orders.",negative
4853,"Well I have been here several times
All I want to say that it's an average place with reasonable price. Ambiance so so nothing special.
If you are looking for beat in cheap this is the one of them in this location.",negative
863,A nice place but a bit congested. Tried their pork Platter and that the best dish they serve. The pork steak was not much impressive because it had a lot of fat instead of meat.,negative
4895,"Located at Narkeldanga, Newtown. Got the food delivered to my friend's house. Ordered Mixed Fried Rice, Chicken Noodles, Crispy Chilli Babycorn, Chilli Fish and Chilli Chicken. Everything tasted delicious. The quantity was scrumptious. No photos sorry was too hungry to click pictures!",positive
5233,"I have been to this place before and i loved their food, ambience and location. This time i ordered from uber eats. It was quite a fast delivery. I ordered one chicken biryani and one chicken bharta. Biryani was very light and good quantity with taste but it was without egg. Bharta was also very tasty and less spicy. Loved it.",positive
7185,"Well this place is famous for pizza cones but i though of trying the pizza first! Tbh I prefer margharita pizza always so here I took that as well with double cheese and it tastes better than any others in the city. Its soft, the pizza sauce tastes awesome and double cheese (₹30+₹30)is really worth the it. I took the regular one and it is more than enough to suffice one person’s apetite",positive
2077,"Can't help giving a 5 star. loved this place. Being a non vegetarian, this is the only veg restaurant that attracts me. Been there about 20 times atleast in the past 3 years. Will be there again . The food is awesome. The pocket pinch is moderate❤️",positive
10803,"I highly recommend this restaurant to everyone, the quality and taste of the food is amazing. It's worth every penny u spend on it.",positive
10277,"Went there to spend time with friends after college! It's a bit in the interiors of Tangra and for that maybe it's a bit underrated. Ordered Chilli Pork, Chicken Wantons and Chilli Potato. The chilli pork was definitely the stealer. Lean meat tossed in chilli soya gravy! This place serves one of the best pork in the city definitely. The cantons were nice but i felt stuffing could have been more, to me it was more of wanton sheet than the stuffing that came into my mouth. The chilli potato was nice and crispy ! It's definitely one of the best places for pork lovers. So do try their pork dishes. All in all it's a nice place with good ambiance unlike other tangra places. Booze is a bit on the costlier side but that's why the crowd is selective. Would love to recommend this place.",positive
1477,I was here few days back with my friend. It was empty in the afternoon. The staffs were cordial and the ambience is perfect with comfortable sitting.We ordered Hand Tossed Big Chicken pizza along with Green Apple Mojito. It was very refreshing and was on the sweeter side in taste. The pizza was freshly baked with veggies and chicken sausages. I really loved how it tasted.,positive
3190,"Yesterday me and my office colleagues went to this place after office. This was my first visit to this place and was quite disappointed with the experience. The entire restaurant was empty. They were not serving liquor . Only food items were available. We ordered mutton Patiala (the only good thing about the entire experience), dragon chicken, crispy chicken, mixed rice, schezuan chicken and garlic chicken. None of the dishes except the mutton Patiala tasted good to our taste buds. Ambiance and service both were so-so. We literally had to ask for water and cutlery. Would never visit this place once again.",negative
3611,"This is the oldest chinese restaurant at Shyambazar area.. I have been visiting this place since my school life.. went there so many times.. the restaurant is very small but I love the ambience.. this place is actually very nostalgic for me.. have tried many dishes from their menu.. love their thai soup, mixed rice, mombasa special fried rice, hot garlic chicken, schezwan chicken and mixed chowmien.. all dishes are tasty and quantity is also good.. service is quick and pocket pinch is also very reasonable.. Recommended.. 👍😊",positive
10801,"Like home styled food, then this place in locality will attract you. Ordered through zomato , cannot comment on the ambience or staff service. But the food was packed very nicely, the flavours were subtle . Ordered their thali , which comprised 2 sabzis 1 dal rice fhulkas with pickle papad and onions and 1 gulab jamun . Ghar ka khana cravings? Away from home. Order from this place😋",negative
10355,"Had ordered a chicken burger combo.The combo consists of 1 Chicken burger,French fries,1 sprite of 200ml and 1 crispy Chicken leg piece.Now coming to the quality the chicken burger was okaish and I personally feel it could have been better.French fries was of good amount and crispy.Liked it.The best thing was the crispy leg piece.I was really amazed to see the size.Awsome taste.This combo is worth trying.Price is reasonable.Keep up the good work Crispy Masala Chicken.A big thanks to Zomato for the quick delivery.Food was warm.Enjoyed it.All the best.",positive
9900,"The reason to rate this high is because of the pocket friendly price list of this joint along with their good quality food. I have had egg rolls,chicken rolls, dry chili chicken, drums of heaven and chicken lollipops on many occassions. We also had paratha and egg curry from them once and a plate of mix chowmin. all the items are reasonably priced and tastes good. They follow instructions regarding the food as they made my chowmin with very little oil but still it tasted good. a definitely good joint. Will like to try their indian dishes in future.",positive
4208,This cafe is located near Golabari Police station.I was very eager to visit the outlet and most importantly Twistao was one of the reason and it is also one of the attraction of this cafe . When I tasted it it was very poor and the price is not at all reasonable. I took the strawberry shake it was just Okaish in taste.,negative
4540,It's quite and average place by the looks of it ...But it sure does make up for it in the food side of things.. The food is above average and staffs are nice .. We ordered biriyani and it wasn't dry like most of the other places I have visited recently so kudos to that...The pocket pinch is reasonable,negative
11253,Saswata Mojumdar  Great afternoon stopover for lunch. Quiet ambience and less crowd alongside the lake of Eco Park in an island. Fast service and well mannered hosting. Simple less spicy Bengali and north Indian dishes. Loved the Shorshey Iilish like anything. Frequent visitor.,positive
6669,"Just few days back I visited this eatery , near nazrul mancha at southern avenue.This place is really beautifully decorated and the service was really good. The staffs are well-mannered.
We ordered -
1)Drums of heaven
2)Hakka noodles
3)chilli garlic noodles
4)popular chicken 65
Each of the dishes is mouth-watering.It's a must visit place for food-lovers.Thank you.",positive
5791,"Located in Bangur from many years, this place has variety of South Indian dishes. You will get so many types of dosas, and they are worth trying.
We had Cheese Onion Masala Dosa and the quantity and quality was too good. The amount of cheese was perfect. Sambar and Chutney tasted well.
If you're in Bangur and craving authentic south indian. Try this place.

Pocket Pinch- 130/-",positive
1206,"To be honest, I have always loves the ambience but dint visit this place because of the Veg options being less in the menu.

But the day I went, and ordered pad thai noodles salad, butter paneer tikka panini, cold mocha shake and coffee frappe, I was amazed.

Both the dishes were yummy. Especially the panini, it was super tasty.
Even the drinks were good.

I had a great experience and would visit again soon.",positive
9297,"Tried many times from this restaurant as it is very close from my house. Food is good as per the price. Must try kebab fry, paneer butter masala, Tikka. Staffs are good. Always try to take parcel.",negative
4002,"This is basically a delivery joint. When I was in Garia I ordered some food to my friend's office. I tried out the following dishes:
1. Chicken Reshmi Kebab
2. Chicken Tikka Kebab
3. Mutton Biryani
4. Chicken Biryani
5. Chicken Chap
6. Chicken Roll
7. Chicken Tandoori
8. Paneer Butter Masala.

Out of the following items, I would recommend you the Chicken Tandoori, Paneer Butter Masala and the Chicken Tikka Kebab. The rest of the dishes were pretty much average. However the pricing is a bit on the lower side.",positive
7913,"Its a multi cuisine restaurant just opposite Sodepur railway station platform no. 1 tkt window. A
It was renovated recently and additional items on the Menu too have been added. The food served here is Bengali, Indian and Chinese cuisines. Moderately prices with quick service is its trademark. The steaming hot lunch thalis start from Rs. 50/- only. This is perhaps the only place in Sodepur and adjoining areaa where Biryani is served with one Piece Egg and Aloo with either chicken or Mutton.

Dishes recommended here include Crispy chicken, steamed momos, fish fry or crispy baby corn and paneer pakoras

The dishes recommended are chicken butter masala, paneer butter masala, Balti chicken, Mutton Chaap and Mixed fried rice with Chilly Fish, Garlic chicken or Paneer Manchurian. Low prices for quality food along with excellent.

Their outside counter sells the best egg and chicken rolls in Sodepur area... Goo",positive
7996,food taste is bad,negative
2051,Kopai is a bengali style restaurant located in the Southern Avenue. This place is a must visit for the Bengali food lovers. This place is pocket friendly too. I tried luchi along with paneer kofta and mixed veg. The food tasted very good. The rosogulla at the end was really amazing. The flavour of gur(jagerry) was so prominent. I really loved it.,positive
7195,"It was a friend's bday treat. After work, we met at elgin road & just saw this place & entered inside. The decor is quirky, graffiti adorned the walls, ambience was classy & some B& W pictures of old calcutta made up a significant portion of the wall decor. In terms of food, we ordered crispy fried baby corn in starters. In main course, we ordered the chef's special sliced pork hong kong &the schzewan prawn fried rice. The rice was tasty, adequate helpings of prawn, coupled with veggies & egg, but the pork side dish turned out to be pretty bland for our taste though the meat was tender & well cooked. The portions were adequate for two. Price is affordable. Overall a good experience. Definitely recommended. Sandip Das",positive
